Method,Count
pd.read_csv,756
pd.DataFrame,469
df.head,438
df.append,436
df.mean,429
df.drop,422
df.sum,414
df.ge,401
df.to_csv,378
df.get,376
df.mode,374
df.mod,374
df.sub,348
df.astype,339
pd.concat,325
df.fillna,310
df.apply,307
df.groupby,298
pd.groupby,298
df.join,297
df.max,287
pd.unique,245
df.reset_index,233
df.count,225
df.le,216
df.transform,214
pd.value_counts,208
pd.merge,199
df.merge,199
df.sort_values,195
df.min,190
df.add,187
df.isnull,187
pd.isnull,187
df.replace,159
df.copy,153
df.hist,143
df.std,139
df.filter,132
df.ne,131
df.describe,122
df.corr,119
df.items,116
df.dropna,115
df.median,113
pd.to_datetime,112
df.isin,110
pd.get_dummies,106
df.rename,97
df.info,91
df.keys,87
df.set_index,83
df.sample,81
df.boxplot,75
df.where,73
df.round,69
df.agg,69
df.clip,66
df.iterrows,60
df.tail,57
df.stack,56
df.transpose,52
df.update,50
df.any,48
df.abs,46
df.pipe,44
df.eval,43
pd.eval,43
df.unstack,42
pd.read_json,42
pd.pivot,40
df.pivot,40
df.notnull,38
pd.notnull,38
df.as_matrix,38
df.nunique,37
df.cumsum,37
df.select,36
df.div,35
pd.crosstab,35
df.drop_duplicates,34
df.prod,33
df.select_dtypes,30
df.insert,29
pd.to_numeric,28
df.__init__,28
df.pow,27
df.isna,27
pd.isna,27
df.product,27
df.diff,26
df.sort_index,26
pd.cut,24
df.to_dict,24
df.squeeze,24
df.dot,23
df.pop,23
pd.test,21
df.rolling,20
df.bool,20
df.skew,20
df.var,18
df.reindex,18
df.query,18
df.shift,17
df.quantile,17
df.iteritems,16
df.mul,16
pd.read_table,15
pd.match,15
df.idxmax,15
pd.melt,14
df.pivot_table,14
pd.pivot_table,14
df.set_value,14
df.all,14
df.melt,14
pd.qcut,14
pd.factorize,14
df.multiply,14
df.set_axis,13
df.eq,13
df.rank,12
df.aggregate,12
df.memory_usage,10
pd.date_range,9
df.nlargest,9
df.interpolate,9
df.kurt,8
df.cov,8
pd.read_sql,8
df.resample,8
df.assign,8
df.get_value,7
df.subtract,7
df.first,7
df.divide,7
df.last,6
df.to_html,5
df.sem,5
df.combine,5
df.truncate,5
pd.read_pickle,4
df.xs,4
df.duplicated,4
df.idxmin,4
df.applymap,4
pd.read_hdf,4
df.to_string,3
pd.read_sql_query,3
df.mask,3
pd.rolling_mean,3
df.convert_objects,3
df.kurtosis,3
pd.to_pickle,3
df.to_pickle,3
df.to_sql,3
df.combine_first,2
df.get_values,2
df.get_dtype_counts,2
pd.read_excel,2
df.to_excel,2
df.to_json,2
df.to_period,2
df.__getitem__,2
pd.scatter_matrix,2
df.__getstate__,2
df.to_sparse,2
pd.rolling_std,2
df.add_prefix,2
df.__len__,2
df.swapaxes,2
df.take,2
df.cumprod,2
df.__setstate__,2
df.itertuples,2
pd.read_feather,1
df.equals,1
df.corrwith,1
df.align,1
pd.set_eng_float_format,1
df.__iter__,1
pd.rolling_median,1
df.__copy__,1
df.to_feather,1
df.clip_upper,1
df.swaplevel,1
df.tz_localize,1
df.tz_convert,1
df.__eq__,1
df.to_records,1
df.pct_change,1
df.nsmallest,1
df.to_dense,1
pd.to_timedelta,1
df._get_numeric_data,1
