Method,Count
pd.read_csv,1422
pd.DataFrame,886
df.append,792
df.mean,783
df.head,783
df.drop,761
df.sum,755
df.ge,717
df.to_csv,693
df.get,669
df.mod,655
df.mode,653
df.astype,649
df.sub,637
pd.concat,582
df.apply,577
pd.groupby,557
df.groupby,557
df.join,544
df.fillna,543
df.max,508
df.reset_index,434
pd.unique,433
df.le,405
df.count,399
pd.value_counts,397
df.sort_values,390
df.transform,387
pd.merge,376
df.merge,376
df.add,346
df.isnull,338
pd.isnull,338
df.min,321
df.copy,314
df.replace,300
df.std,261
df.hist,246
df.filter,234
df.describe,220
df.ne,218
df.corr,217
df.median,217
df.items,212
pd.to_datetime,204
df.isin,203
df.dropna,195
pd.get_dummies,190
df.rename,185
df.info,180
df.set_index,166
df.keys,159
df.sample,155
df.agg,140
df.where,138
df.boxplot,134
df.clip,116
df.round,116
df.abs,101
df.stack,97
df.tail,94
df.update,92
df.iterrows,90
df.transpose,87
df.any,85
df.pipe,80
pd.eval,73
df.eval,73
pd.read_json,72
df.nunique,70
df.pivot,70
pd.pivot,70
df.select,68
df.as_matrix,67
df.notnull,66
df.cumsum,66
pd.notnull,66
df.prod,64
df.unstack,64
df.drop_duplicates,63
df.div,63
pd.crosstab,59
df.select_dtypes,57
df.pow,56
df.sort_index,56
df.product,52
pd.isna,51
df.isna,51
df.dot,46
pd.cut,45
df.bool,44
df.to_dict,44
df.diff,44
df.insert,44
df.pop,44
df.query,43
df.var,43
df.__init__,41
pd.to_numeric,39
df.squeeze,39
df.quantile,37
df.reindex,37
df.rolling,35
pd.factorize,32
pd.melt,31
df.melt,31
df.rank,31
pd.read_table,30
df.pivot_table,30
pd.pivot_table,30
df.idxmax,30
pd.test,29
df.iteritems,29
df.shift,28
df.mul,28
pd.qcut,25
df.set_value,25
df.all,24
df.skew,24
df.aggregate,23
pd.match,22
df.nlargest,22
df.multiply,21
df.eq,20
df.set_axis,19
df.resample,18
pd.read_sql,17
df.duplicated,16
pd.date_range,16
df.interpolate,15
df.memory_usage,15
df.divide,14
df.cov,13
df.assign,12
df.subtract,12
pd.read_pickle,11
df.applymap,11
df.first,11
df.kurt,10
df.truncate,10
df.get_value,9
pd.read_hdf,9
df.to_html,9
pd.read_sql_query,9
df.take,8
df.to_pickle,7
df.itertuples,7
df.to_string,7
df.last,7
df.sem,7
pd.to_pickle,7
df.to_json,7
df.idxmin,7
df.xs,6
df.combine,6
pd.rolling_mean,6
df.to_period,6
df.convert_objects,5
df.mask,4
df.pct_change,4
df.add_prefix,4
pd.read_excel,4
pd.rolling_std,3
df.to_records,3
df.corrwith,3
df.swapaxes,3
df.__iter__,3
df.to_sql,3
pd.read_feather,3
df.to_feather,3
df.__len__,3
df.kurtosis,3
df.to_sparse,2
df.get_values,2
df.__eq__,2
pd.bdate_range,2
df.get_dtype_counts,2
df.combine_first,2
df._get_numeric_data,2
df.nsmallest,2
pd.scatter_matrix,2
df.rename_axis,2
df.__setstate__,2
df.cumprod,2
df.__getstate__,2
df.equals,2
df.__getitem__,2
df.clip_upper,2
df.floordiv,2
df.to_excel,2
df.reindex_axis,1
pd.to_timedelta,1
df.ewm,1
df.tz_localize,1
df.tz_convert,1
df.to_hdf,1
df.lookup,1
pd.merge_ordered,1
df.swaplevel,1
df.first_valid_index,1
df.lt,1
df.add_suffix,1
pd.rolling_median,1
df.to_dense,1
df.mad,1
df.align,1
df.__copy__,1
pd.set_eng_float_format,1
